migration_id,timestamp,action,source_path,target_path,callers_updated,status,error
M001,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/activity/L6_drivers/threshold_driver.py,backend/app/hoc/cus/controls/L6_drivers/threshold_driver.py,0,SUCCESS,
M002,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L5_notifications/engines/channel_engine.py,backend/app/hoc/cus/integrations/L5_notifications/engines/channel_engine.py,0,SUCCESS,
M003,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L5_support/CRM/engines/audit_engine.py,backend/app/hoc/cus/logs/L5_support/CRM/engines/audit_engine.py,0,SUCCESS,
M004,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L5_support/CRM/engines/job_executor.py,backend/app/hoc/cus/general/L5_support/CRM/engines/job_executor.py,0,SUCCESS,
M005,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/account/L6_drivers/worker_registry_driver.py,backend/app/hoc/cus/integrations/L6_drivers/worker_registry_driver.py,0,SUCCESS,
M006,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/alert_worker.py,backend/app/hoc/cus/general/L5_engines/alert_worker.py,0,SUCCESS,
M007,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/cb_sync_wrapper.py,backend/app/hoc/cus/controls/L5_engines/cb_sync_wrapper.py,0,SUCCESS,
M008,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/killswitch.py,backend/app/hoc/cus/controls/L5_engines/killswitch.py,0,SUCCESS,
M009,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/manager.py,backend/app/hoc/cus/general/L5_engines/manager.py,0,SUCCESS,
M010,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L5_engines/s2_cost_smoothing.py,backend/app/hoc/cus/controls/L5_engines/s2_cost_smoothing.py,0,SUCCESS,
M011,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L6_drivers/alert_driver.py,backend/app/hoc/cus/general/L6_drivers/alert_driver.py,0,SUCCESS,
M012,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L6_drivers/circuit_breaker.py,backend/app/hoc/cus/controls/L6_drivers/circuit_breaker.py,0,SUCCESS,
M013,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/analytics/L6_drivers/circuit_breaker_async.py,backend/app/hoc/cus/controls/L6_drivers/circuit_breaker_async.py,0,SUCCESS,
M014,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/channel_engine.py,backend/app/hoc/cus/integrations/L5_engines/channel_engine.py,0,SUCCESS,
M015,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/degraded_mode_checker.py,backend/app/hoc/cus/general/L5_engines/degraded_mode_checker.py,0,SUCCESS,
M016,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/incidents/L5_engines/evidence_report.py,backend/app/hoc/cus/logs/L5_engines/evidence_report.py,0,SUCCESS,
M017,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/failure_mode_handler.py,backend/app/hoc/cus/policies/L5_engines/failure_mode_handler.py,0,SUCCESS,
M018,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/lessons_engine.py,backend/app/hoc/cus/policies/L5_engines/lessons_engine.py,0,SUCCESS,
M019,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/mapper.py,backend/app/hoc/cus/logs/L5_engines/mapper.py,0,SUCCESS,
M020,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/incidents/L5_engines/panel_invariant_monitor.py,backend/app/hoc/cus/general/L5_engines/panel_invariant_monitor.py,0,SUCCESS,
M021,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/panel_verification_engine.py,backend/app/hoc/cus/general/L5_engines/panel_verification_engine.py,0,SUCCESS,
M022,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/incidents/L5_engines/pdf_renderer.py,backend/app/hoc/cus/logs/L5_engines/pdf_renderer.py,0,SUCCESS,
M023,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L5_engines/recovery_evaluation_engine.py,backend/app/hoc/cus/policies/L5_engines/recovery_evaluation_engine.py,0,SUCCESS,
M024,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/incidents/L5_engines/runtime_switch.py,backend/app/hoc/cus/general/L5_engines/runtime_switch.py,0,SUCCESS,
M025,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/incidents/L6_drivers/scoped_execution.py,backend/app/hoc/cus/controls/L6_drivers/scoped_execution.py,0,SUCCESS,
M026,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/alert_fatigue.py,backend/app/hoc/cus/controls/L5_engines/alert_fatigue.py,0,SUCCESS,
M027,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/audit_durability.py,backend/app/hoc/cus/general/L5_engines/audit_durability.py,0,SUCCESS,
M028,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/monitors_facade.py,backend/app/hoc/cus/integrations/L5_engines/monitors_facade.py,0,SUCCESS,
M029,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/notifications_facade.py,backend/app/hoc/cus/integrations/L5_engines/notifications_facade.py,0,SUCCESS,
M030,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/alerts_facade.py,backend/app/hoc/cus/controls/L5_engines/alerts_facade.py,0,SUCCESS,
M031,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/logs/L5_engines/connectors_facade.py,backend/app/hoc/cus/integrations/L5_engines/connectors_facade.py,0,SUCCESS,
M032,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/controls_facade.py,backend/app/hoc/cus/controls/L5_engines/controls_facade.py,0,SUCCESS,
M033,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/logs/L5_engines/datasources_facade.py,backend/app/hoc/cus/integrations/L5_engines/datasources_facade.py,0,SUCCESS,
M034,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/logs/L5_engines/detection_facade.py,backend/app/hoc/cus/analytics/L5_engines/detection_facade.py,0,SUCCESS,
M035,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/durability.py,backend/app/hoc/cus/general/L5_engines/durability.py,0,SUCCESS,
M036,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/lifecycle_facade.py,backend/app/hoc/cus/general/L5_engines/lifecycle/lifecycle_facade.py,0,SUCCESS,
M037,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/retrieval_facade.py,backend/app/hoc/cus/general/L5_engines/retrieval_facade.py,0,SUCCESS,
M038,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/retrieval_mediator.py,backend/app/hoc/cus/general/L5_engines/retrieval_mediator.py,0,SUCCESS,
M039,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/panel_slot_evaluator.py,backend/app/hoc/cus/general/L5_engines/panel_slot_evaluator.py,0,SUCCESS,
M040,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/logs/L5_engines/scheduler_facade.py,backend/app/hoc/cus/general/L5_engines/scheduler_facade.py,0,SUCCESS,
M041,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/logs/L5_engines/service.py,backend/app/hoc/cus/integrations/L5_engines/service.py,0,SUCCESS,
M042,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_controls/drivers/killswitch_read_driver.py,backend/app/hoc/cus/controls/L5_controls/drivers/killswitch_read_driver.py,0,SUCCESS,
M043,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_controls/drivers/runtime_switch.py,backend/app/hoc/cus/general/L5_controls/drivers/runtime_switch.py,0,SUCCESS,
M044,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_controls/engines/degraded_mode_checker.py,backend/app/hoc/cus/general/L5_controls/engines/degraded_mode_checker.py,0,SUCCESS,
M045,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_controls/engines/customer_killswitch_read_engine.py,backend/app/hoc/cus/controls/L5_controls/engines/customer_killswitch_read_engine.py,0,SUCCESS,
M046,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_schemas/retry.py,backend/app/hoc/cus/general/L5_schemas/retry.py,0,SUCCESS,
M047,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_schemas/overrides.py,backend/app/hoc/cus/controls/L5_schemas/overrides.py,0,SUCCESS,
M048,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_schemas/simulation.py,backend/app/hoc/cus/controls/L5_schemas/simulation.py,0,SUCCESS,
M049,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_schemas/policy_limits.py,backend/app/hoc/cus/controls/L5_schemas/policy_limits.py,0,SUCCESS,
M050,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/policies/L6_drivers/alert_emitter.py,backend/app/hoc/cus/general/L6_drivers/alert_emitter.py,0,SUCCESS,
M051,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/override_driver.py,backend/app/hoc/cus/controls/L6_drivers/override_driver.py,0,SUCCESS,
M052,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/budget_enforcement_driver.py,backend/app/hoc/cus/controls/L6_drivers/budget_enforcement_driver.py,0,SUCCESS,
M053,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/capture.py,backend/app/hoc/cus/logs/L6_drivers/capture.py,0,SUCCESS,
M054,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/policies/L6_drivers/cross_domain.py,backend/app/hoc/cus/general/L6_drivers/cross_domain.py,0,SUCCESS,
M055,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/dag_executor.py,backend/app/hoc/cus/general/L6_drivers/dag_executor.py,0,SUCCESS,
M056,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/governance_signal_driver.py,backend/app/hoc/cus/general/L6_drivers/governance_signal_driver.py,0,SUCCESS,
M057,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/keys_driver.py,backend/app/hoc/cus/apis/L6_drivers/keys_driver.py,0,SUCCESS,
M058,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/limits_read_driver.py,backend/app/hoc/cus/controls/L6_drivers/limits_read_driver.py,0,SUCCESS,
M059,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/llm_threshold_driver.py,backend/app/hoc/cus/controls/L6_drivers/llm_threshold_driver.py,0,SUCCESS,
M060,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/orphan_recovery.py,backend/app/hoc/cus/activity/L6_drivers/orphan_recovery.py,0,SUCCESS,
M061,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L6_drivers/policy_limits_driver.py,backend/app/hoc/cus/controls/L6_drivers/policy_limits_driver.py,0,SUCCESS,
M062,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/audit_engine.py,backend/app/hoc/cus/logs/L5_engines/audit_engine.py,0,SUCCESS,
M063,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/policies/L5_engines/audit_evidence.py,backend/app/hoc/cus/logs/L5_engines/audit_evidence.py,0,SUCCESS,
M064,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/billing_provider.py,backend/app/hoc/cus/account/L5_engines/billing_provider.py,0,SUCCESS,
M065,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/budget_enforcement_engine.py,backend/app/hoc/cus/controls/L5_engines/budget_enforcement_engine.py,0,SUCCESS,
M066,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/policies/L5_engines/certificate.py,backend/app/hoc/cus/logs/L5_engines/certificate.py,0,SUCCESS,
M067,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/constraint_checker.py,backend/app/hoc/cus/general/L5_engines/constraint_checker.py,0,SUCCESS,
M068,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/contract_engine.py,backend/app/hoc/cus/general/L5_engines/contract_engine.py,0,SUCCESS,
M069,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/control_registry.py,backend/app/hoc/cus/logs/L5_engines/control_registry.py,0,SUCCESS,
M070,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/controls_facade.py,backend/app/hoc/cus/controls/L5_engines/controls_facade.py,0,SUCCESS,
M071,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/dag_sorter.py,backend/app/hoc/cus/general/L5_engines/dag_sorter.py,0,SUCCESS,
M072,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/policies/L5_engines/decisions.py,backend/app/hoc/cus/controls/L5_engines/decisions.py,0,SUCCESS,
M073,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L3_adapters/customer_killswitch_adapter.py,backend/app/hoc/cus/controls/L3_adapters/customer_killswitch_adapter.py,0,SUCCESS,
M074,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L3_adapters/founder_contract_review_adapter.py,backend/app/hoc/cus/policies/L3_adapters/founder_contract_review_adapter.py,0,SUCCESS,
M075,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L3_adapters/policy_adapter.py,backend/app/hoc/cus/policies/L3_adapters/policy_adapter.py,0,SUCCESS,
M076,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L5_engines/cost_safety_rails.py,backend/app/hoc/cus/controls/L5_engines/cost_safety_rails.py,0,SUCCESS,
M077,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L5_engines/cost_snapshots.py,backend/app/hoc/cus/analytics/L5_engines/cost_snapshots.py,0,SUCCESS,
M078,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L5_engines/cus_telemetry_service.py,backend/app/hoc/cus/activity/L5_engines/cus_telemetry_service.py,0,SUCCESS,
M079,2026-01-27T00:00:00Z,DELETE_DUPLICATE,backend/app/hoc/cus/integrations/L5_engines/identity_resolver.py,backend/app/hoc/cus/account/L5_engines/identity_resolver.py,0,SUCCESS,
M080,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L5_engines/learning_proof_engine.py,backend/app/hoc/cus/policies/L5_engines/learning_proof_engine.py,0,SUCCESS,
M081,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L5_schemas/cost_snapshot_schemas.py,backend/app/hoc/cus/analytics/L5_schemas/cost_snapshot_schemas.py,0,SUCCESS,
M082,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L6_drivers/bridges_driver.py,backend/app/hoc/cus/logs/L6_drivers/bridges_driver.py,0,SUCCESS,
M083,2026-01-27T00:00:00Z,MOVE,backend/app/hoc/cus/integrations/L6_drivers/knowledge_plane.py,backend/app/hoc/cus/general/L6_drivers/knowledge_plane.py,0,SUCCESS,
