S No,Domain,L1 Count,L1 Frontend (files),L2.1 Count,L2.1 Facades (files),L2 Count,L2 APIs hoc/api/cus/{domain}/ (files),L3 Count,L3 Adapters hoc/cus/{domain}/L3_adapters/ (files),L4 Count,L4 Runtime hoc/cus/general/L4_runtime/ (files),L5 Count,L5 Engines+Schemas+Other hoc/cus/{domain}/L5_*/ (files),L6 Count,L6 Drivers hoc/cus/{domain}/L6_drivers/ (files),L7 Count,L7 Models app/models/ (files),Total Files
1,general,0,,0,,4,"backend/app/hoc/api/cus/general/agents.py
backend/app/hoc/api/cus/general/debug_auth.py
backend/app/hoc/api/cus/general/health.py
backend/app/hoc/api/cus/general/sdk.py",0,,6,"backend/app/hoc/cus/general/L4_runtime/drivers/transaction_coordinator.py
backend/app/hoc/cus/general/L4_runtime/engines/constraint_checker.py
backend/app/hoc/cus/general/L4_runtime/engines/governance_orchestrator.py
backend/app/hoc/cus/general/L4_runtime/engines/phase_status_invariants.py
backend/app/hoc/cus/general/L4_runtime/engines/plan_generation_engine.py
backend/app/hoc/cus/general/L4_runtime/facades/run_governance_facade.py",57,"backend/app/hoc/cus/general/L5_engines/alert_log_linker.py
backend/app/hoc/cus/general/L5_engines/alert_worker.py
backend/app/hoc/cus/general/L5_engines/alerts_facade.py
backend/app/hoc/cus/general/L5_engines/audit_durability.py
backend/app/hoc/cus/general/L5_engines/audit_store.py
backend/app/hoc/cus/general/L5_engines/canonical_json.py
backend/app/hoc/cus/general/L5_engines/compliance_facade.py
backend/app/hoc/cus/general/L5_engines/concurrent_runs.py
backend/app/hoc/cus/general/L5_engines/constraint_checker.py
backend/app/hoc/cus/general/L5_engines/control_registry.py
backend/app/hoc/cus/general/L5_engines/cus_credential_service.py
backend/app/hoc/cus/general/L5_engines/cus_health_shim.py
backend/app/hoc/cus/general/L5_engines/dag_sorter.py
backend/app/hoc/cus/general/L5_engines/db_helpers.py
backend/app/hoc/cus/general/L5_engines/deterministic.py
backend/app/hoc/cus/general/L5_engines/fatigue_controller.py
backend/app/hoc/cus/general/L5_engines/guard.py
backend/app/hoc/cus/general/L5_engines/input_sanitizer.py
backend/app/hoc/cus/general/L5_engines/knowledge_lifecycle_manager.py
backend/app/hoc/cus/general/L5_engines/knowledge_sdk.py
backend/app/hoc/cus/general/L5_engines/lifecycle_facade.py
backend/app/hoc/cus/general/L5_engines/lifecycle_stages_base.py
backend/app/hoc/cus/general/L5_engines/manager.py
backend/app/hoc/cus/general/L5_engines/metrics_helpers.py
backend/app/hoc/cus/general/L5_engines/monitors_facade.py
backend/app/hoc/cus/general/L5_engines/panel_invariant_monitor.py
backend/app/hoc/cus/general/L5_engines/panel_slot_evaluator.py
backend/app/hoc/cus/general/L5_engines/panel_verification_engine.py
backend/app/hoc/cus/general/L5_engines/plan_inspector.py
backend/app/hoc/cus/general/L5_engines/profile_policy_mode.py
backend/app/hoc/cus/general/L5_engines/rate_limiter.py
backend/app/hoc/cus/general/L5_engines/retrieval_facade.py
backend/app/hoc/cus/general/L5_engines/retrieval_mediator.py
backend/app/hoc/cus/general/L5_engines/runtime.py
backend/app/hoc/cus/general/L5_engines/scheduler_facade.py
backend/app/hoc/cus/general/L5_engines/webhook_verify.py
backend/app/hoc/cus/general/L5_schemas/agent.py
backend/app/hoc/cus/general/L5_schemas/artifact.py
backend/app/hoc/cus/general/L5_schemas/common.py
backend/app/hoc/cus/general/L5_schemas/plan.py
backend/app/hoc/cus/general/L5_schemas/rac_models.py
backend/app/hoc/cus/general/L5_schemas/response.py
backend/app/hoc/cus/general/L5_schemas/retry.py
backend/app/hoc/cus/general/L5_schemas/skill.py
backend/app/hoc/cus/general/L5_controls/drivers/guard_write_driver.py
backend/app/hoc/cus/general/L5_controls/drivers/runtime_switch.py
backend/app/hoc/cus/general/L5_controls/engines/degraded_mode_checker.py
backend/app/hoc/cus/general/L5_controls/engines/guard_write_engine.py
backend/app/hoc/cus/general/L5_lifecycle/drivers/execution.py
backend/app/hoc/cus/general/L5_lifecycle/drivers/knowledge_plane.py
backend/app/hoc/cus/general/L5_lifecycle/engines/offboarding.py
backend/app/hoc/cus/general/L5_lifecycle/engines/onboarding.py
backend/app/hoc/cus/general/L5_lifecycle/engines/pool_manager.py
backend/app/hoc/cus/general/L5_support/CRM/engines/job_executor.py
backend/app/hoc/cus/general/L5_ui/engines/rollout_projection.py
backend/app/hoc/cus/general/L5_utils/time.py
backend/app/hoc/cus/general/L5_workflow/contracts/engines/contract_engine.py",13,"backend/app/hoc/cus/general/L6_drivers/alert_driver.py
backend/app/hoc/cus/general/L6_drivers/alert_emitter.py
backend/app/hoc/cus/general/L6_drivers/budget_tracker.py
backend/app/hoc/cus/general/L6_drivers/cross_domain.py
backend/app/hoc/cus/general/L6_drivers/cus_health_driver.py
backend/app/hoc/cus/general/L6_drivers/dag_executor.py
backend/app/hoc/cus/general/L6_drivers/decisions.py
backend/app/hoc/cus/general/L6_drivers/governance_signal_driver.py
backend/app/hoc/cus/general/L6_drivers/guard_cache.py
backend/app/hoc/cus/general/L6_drivers/idempotency.py
backend/app/hoc/cus/general/L6_drivers/ledger.py
backend/app/hoc/cus/general/L6_drivers/schema_parity.py
backend/app/hoc/cus/general/L6_drivers/worker_write_service_async.py",6,"backend/app/models/contract.py
backend/app/models/governance.py
backend/app/models/governance_job.py
backend/app/models/knowledge_lifecycle.py
backend/app/models/run_lifecycle.py
backend/app/models/tenant.py",86
2,overview,0,,0,,1,backend/app/hoc/api/cus/overview/overview.py,0,,0,,1,backend/app/hoc/cus/overview/L5_engines/overview_facade.py,1,backend/app/hoc/cus/overview/L6_drivers/overview_facade_driver.py,0,,3
3,activity,2,"website/app-shell/src/pages/activity/RunDetailPage.tsx
website/app-shell/src/pages/activity/RunsListPage.tsx",0,,1,backend/app/hoc/api/cus/activity/activity.py,0,,0,,8,"backend/app/hoc/cus/activity/L5_engines/activity_enums.py
backend/app/hoc/cus/activity/L5_engines/activity_facade.py
backend/app/hoc/cus/activity/L5_engines/attention_ranking_engine.py
backend/app/hoc/cus/activity/L5_engines/cost_analysis_engine.py
backend/app/hoc/cus/activity/L5_engines/cus_telemetry_service.py
backend/app/hoc/cus/activity/L5_engines/pattern_detection_engine.py
backend/app/hoc/cus/activity/L5_engines/signal_feedback_engine.py
backend/app/hoc/cus/activity/L5_engines/signal_identity.py",3,"backend/app/hoc/cus/activity/L6_drivers/activity_read_driver.py
backend/app/hoc/cus/activity/L6_drivers/orphan_recovery.py
backend/app/hoc/cus/activity/L6_drivers/run_signal_service.py",3,"backend/app/models/execution_envelope.py
backend/app/models/run_lifecycle.py
backend/app/models/threshold_signal.py",17
4,incidents,0,,0,,2,"backend/app/hoc/api/cus/incidents/cost_guard.py
backend/app/hoc/api/cus/incidents/incidents.py",1,backend/app/hoc/cus/incidents/L3_adapters/anomaly_bridge.py,0,,16,"backend/app/hoc/cus/incidents/L5_engines/hallucination_detector.py
backend/app/hoc/cus/incidents/L5_engines/incident_driver.py
backend/app/hoc/cus/incidents/L5_engines/incident_engine.py
backend/app/hoc/cus/incidents/L5_engines/incident_pattern_engine.py
backend/app/hoc/cus/incidents/L5_engines/incident_read_engine.py
backend/app/hoc/cus/incidents/L5_engines/incident_severity_engine.py
backend/app/hoc/cus/incidents/L5_engines/incident_write_engine.py
backend/app/hoc/cus/incidents/L5_engines/incidents_facade.py
backend/app/hoc/cus/incidents/L5_engines/incidents_types.py
backend/app/hoc/cus/incidents/L5_engines/llm_failure_engine.py
backend/app/hoc/cus/incidents/L5_engines/policy_violation_engine.py
backend/app/hoc/cus/incidents/L5_engines/postmortem_engine.py
backend/app/hoc/cus/incidents/L5_engines/prevention_engine.py
backend/app/hoc/cus/incidents/L5_engines/recovery_rule_engine.py
backend/app/hoc/cus/incidents/L5_engines/recurrence_analysis_engine.py
backend/app/hoc/cus/incidents/L5_engines/semantic_failures.py",11,"backend/app/hoc/cus/incidents/L6_drivers/export_bundle_driver.py
backend/app/hoc/cus/incidents/L6_drivers/incident_aggregator.py
backend/app/hoc/cus/incidents/L6_drivers/incident_pattern_driver.py
backend/app/hoc/cus/incidents/L6_drivers/incident_read_driver.py
backend/app/hoc/cus/incidents/L6_drivers/incident_write_driver.py
backend/app/hoc/cus/incidents/L6_drivers/incidents_facade_driver.py
backend/app/hoc/cus/incidents/L6_drivers/lessons_driver.py
backend/app/hoc/cus/incidents/L6_drivers/llm_failure_driver.py
backend/app/hoc/cus/incidents/L6_drivers/policy_violation_driver.py
backend/app/hoc/cus/incidents/L6_drivers/postmortem_driver.py
backend/app/hoc/cus/incidents/L6_drivers/recurrence_analysis_driver.py",2,"backend/app/models/killswitch.py
backend/app/models/lessons_learned.py",32
5,policies,0,,0,,38,"backend/app/hoc/api/cus/policies/M25_integrations.py
backend/app/hoc/api/cus/policies/alerts.py
backend/app/hoc/api/cus/policies/analytics.py
backend/app/hoc/api/cus/policies/aos_accounts.py
backend/app/hoc/api/cus/policies/aos_api_key.py
backend/app/hoc/api/cus/policies/aos_cus_integrations.py
backend/app/hoc/api/cus/policies/billing_dependencies.py
backend/app/hoc/api/cus/policies/compliance.py
backend/app/hoc/api/cus/policies/connectors.py
backend/app/hoc/api/cus/policies/controls.py
backend/app/hoc/api/cus/policies/cus_enforcement.py
backend/app/hoc/api/cus/policies/customer_visibility.py
backend/app/hoc/api/cus/policies/datasources.py
backend/app/hoc/api/cus/policies/detection.py
backend/app/hoc/api/cus/policies/evidence.py
backend/app/hoc/api/cus/policies/governance.py
backend/app/hoc/api/cus/policies/guard.py
backend/app/hoc/api/cus/policies/guard_policies.py
backend/app/hoc/api/cus/policies/lifecycle.py
backend/app/hoc/api/cus/policies/logs.py
backend/app/hoc/api/cus/policies/monitors.py
backend/app/hoc/api/cus/policies/notifications.py
backend/app/hoc/api/cus/policies/override.py
backend/app/hoc/api/cus/policies/policies.py
backend/app/hoc/api/cus/policies/policy.py
backend/app/hoc/api/cus/policies/policy_layer.py
backend/app/hoc/api/cus/policies/policy_limits_crud.py
backend/app/hoc/api/cus/policies/policy_proposals.py
backend/app/hoc/api/cus/policies/policy_rules_crud.py
backend/app/hoc/api/cus/policies/rate_limits.py
backend/app/hoc/api/cus/policies/rbac_api.py
backend/app/hoc/api/cus/policies/replay.py
backend/app/hoc/api/cus/policies/retrieval.py
backend/app/hoc/api/cus/policies/runtime.py
backend/app/hoc/api/cus/policies/scheduler.py
backend/app/hoc/api/cus/policies/simulate.py
backend/app/hoc/api/cus/policies/status_history.py
backend/app/hoc/api/cus/policies/workers.py",2,"backend/app/hoc/cus/policies/L3_adapters/founder_contract_review_adapter.py
backend/app/hoc/cus/policies/L3_adapters/policy_adapter.py",0,,62,"backend/app/hoc/cus/policies/L5_engines/ast.py
backend/app/hoc/cus/policies/L5_engines/authority_checker.py
backend/app/hoc/cus/policies/L5_engines/binding_moment_enforcer.py
backend/app/hoc/cus/policies/L5_engines/claim_decision_engine.py
backend/app/hoc/cus/policies/L5_engines/compiler_parser.py
backend/app/hoc/cus/policies/L5_engines/content_accuracy.py
backend/app/hoc/cus/policies/L5_engines/cus_enforcement_service.py
backend/app/hoc/cus/policies/L5_engines/customer_policy_read_engine.py
backend/app/hoc/cus/policies/L5_engines/decorator.py
backend/app/hoc/cus/policies/L5_engines/degraded_mode.py
backend/app/hoc/cus/policies/L5_engines/deterministic_engine.py
backend/app/hoc/cus/policies/L5_engines/dsl_parser.py
backend/app/hoc/cus/policies/L5_engines/eligibility_engine.py
backend/app/hoc/cus/policies/L5_engines/engine.py
backend/app/hoc/cus/policies/L5_engines/failure_mode_handler.py
backend/app/hoc/cus/policies/L5_engines/folds.py
backend/app/hoc/cus/policies/L5_engines/governance_facade.py
backend/app/hoc/cus/policies/L5_engines/grammar.py
backend/app/hoc/cus/policies/L5_engines/intent.py
backend/app/hoc/cus/policies/L5_engines/interpreter.py
backend/app/hoc/cus/policies/L5_engines/ir_builder.py
backend/app/hoc/cus/policies/L5_engines/ir_compiler.py
backend/app/hoc/cus/policies/L5_engines/ir_nodes.py
backend/app/hoc/cus/policies/L5_engines/kernel.py
backend/app/hoc/cus/policies/L5_engines/keys_shim.py
backend/app/hoc/cus/policies/L5_engines/kill_switch.py
backend/app/hoc/cus/policies/L5_engines/learning_proof_engine.py
backend/app/hoc/cus/policies/L5_engines/lessons_engine.py
backend/app/hoc/cus/policies/L5_engines/limits.py
backend/app/hoc/cus/policies/L5_engines/limits_facade.py
backend/app/hoc/cus/policies/L5_engines/limits_simulation_service.py
backend/app/hoc/cus/policies/L5_engines/llm_policy_engine.py
backend/app/hoc/cus/policies/L5_engines/nodes.py
backend/app/hoc/cus/policies/L5_engines/phase_status_invariants.py
backend/app/hoc/cus/policies/L5_engines/plan.py
backend/app/hoc/cus/policies/L5_engines/plan_generation_engine.py
backend/app/hoc/cus/policies/L5_engines/policies_facade.py
backend/app/hoc/cus/policies/L5_engines/policies_limits_query_engine.py
backend/app/hoc/cus/policies/L5_engines/policies_proposals_query_engine.py
backend/app/hoc/cus/policies/L5_engines/policies_rules_query_engine.py
backend/app/hoc/cus/policies/L5_engines/policy_command.py
backend/app/hoc/cus/policies/L5_engines/policy_conflict_resolver.py
backend/app/hoc/cus/policies/L5_engines/policy_driver.py
backend/app/hoc/cus/policies/L5_engines/policy_graph_engine.py
backend/app/hoc/cus/policies/L5_engines/policy_limits_engine.py
backend/app/hoc/cus/policies/L5_engines/policy_mapper.py
backend/app/hoc/cus/policies/L5_engines/policy_models.py
backend/app/hoc/cus/policies/L5_engines/policy_proposal_engine.py
backend/app/hoc/cus/policies/L5_engines/policy_rules_engine.py
backend/app/hoc/cus/policies/L5_engines/prevention_engine.py
backend/app/hoc/cus/policies/L5_engines/prevention_hook.py
backend/app/hoc/cus/policies/L5_engines/protection_provider.py
backend/app/hoc/cus/policies/L5_engines/recovery_evaluation_engine.py
backend/app/hoc/cus/policies/L5_engines/runtime_command.py
backend/app/hoc/cus/policies/L5_engines/sandbox_engine.py
backend/app/hoc/cus/policies/L5_engines/snapshot_engine.py
backend/app/hoc/cus/policies/L5_engines/state.py
backend/app/hoc/cus/policies/L5_engines/tokenizer.py
backend/app/hoc/cus/policies/L5_engines/validator.py
backend/app/hoc/cus/policies/L5_engines/visitors.py
backend/app/hoc/cus/policies/L5_engines/worker_execution_command.py
backend/app/hoc/cus/policies/L5_schemas/policy_rules.py",14,"backend/app/hoc/cus/policies/L6_drivers/arbitrator.py
backend/app/hoc/cus/policies/L6_drivers/optimizer_conflict_resolver.py
backend/app/hoc/cus/policies/L6_drivers/policy_engine_driver.py
backend/app/hoc/cus/policies/L6_drivers/policy_graph_driver.py
backend/app/hoc/cus/policies/L6_drivers/policy_proposal_read_driver.py
backend/app/hoc/cus/policies/L6_drivers/policy_proposal_write_driver.py
backend/app/hoc/cus/policies/L6_drivers/policy_read_driver.py
backend/app/hoc/cus/policies/L6_drivers/policy_rules_driver.py
backend/app/hoc/cus/policies/L6_drivers/policy_rules_read_driver.py
backend/app/hoc/cus/policies/L6_drivers/proposals_read_driver.py
backend/app/hoc/cus/policies/L6_drivers/recovery_matcher.py
backend/app/hoc/cus/policies/L6_drivers/recovery_write_driver.py
backend/app/hoc/cus/policies/L6_drivers/scope_resolver.py
backend/app/hoc/cus/policies/L6_drivers/symbol_table.py",6,"backend/app/models/override_authority.py
backend/app/models/policy.py
backend/app/models/policy_control_plane.py
backend/app/models/policy_precedence.py
backend/app/models/policy_scope.py
backend/app/models/policy_snapshot.py",122
6,controls,0,,0,,0,,1,backend/app/hoc/cus/controls/L3_adapters/customer_killswitch_adapter.py,0,,14,"backend/app/hoc/cus/controls/L5_engines/alert_fatigue.py
backend/app/hoc/cus/controls/L5_engines/budget_enforcement_engine.py
backend/app/hoc/cus/controls/L5_engines/cb_sync_wrapper.py
backend/app/hoc/cus/controls/L5_engines/controls_facade.py
backend/app/hoc/cus/controls/L5_engines/cost_safety_rails.py
backend/app/hoc/cus/controls/L5_engines/decisions.py
backend/app/hoc/cus/controls/L5_engines/killswitch.py
backend/app/hoc/cus/controls/L5_engines/s2_cost_smoothing.py
backend/app/hoc/cus/controls/L5_engines/threshold_engine.py
backend/app/hoc/cus/controls/L5_schemas/overrides.py
backend/app/hoc/cus/controls/L5_schemas/policy_limits.py
backend/app/hoc/cus/controls/L5_schemas/simulation.py
backend/app/hoc/cus/controls/L5_controls/drivers/killswitch_read_driver.py
backend/app/hoc/cus/controls/L5_controls/engines/customer_killswitch_read_engine.py",8,"backend/app/hoc/cus/controls/L6_drivers/budget_enforcement_driver.py
backend/app/hoc/cus/controls/L6_drivers/circuit_breaker.py
backend/app/hoc/cus/controls/L6_drivers/circuit_breaker_async.py
backend/app/hoc/cus/controls/L6_drivers/limits_read_driver.py
backend/app/hoc/cus/controls/L6_drivers/override_driver.py
backend/app/hoc/cus/controls/L6_drivers/policy_limits_driver.py
backend/app/hoc/cus/controls/L6_drivers/scoped_execution.py
backend/app/hoc/cus/controls/L6_drivers/threshold_driver.py",2,"backend/app/models/killswitch.py
backend/app/models/policy_control_plane.py",25
7,logs,1,website/app-shell/src/pages/auth/LoginPage.tsx,0,,4,"backend/app/hoc/api/cus/logs/cost_intelligence.py
backend/app/hoc/api/cus/logs/guard_logs.py
backend/app/hoc/api/cus/logs/tenants.py
backend/app/hoc/api/cus/logs/traces.py",1,backend/app/hoc/cus/logs/L3_adapters/export_bundle_adapter.py,0,,18,"backend/app/hoc/cus/logs/L5_engines/audit_evidence.py
backend/app/hoc/cus/logs/L5_engines/audit_ledger_service.py
backend/app/hoc/cus/logs/L5_engines/audit_reconciler.py
backend/app/hoc/cus/logs/L5_engines/certificate.py
backend/app/hoc/cus/logs/L5_engines/completeness_checker.py
backend/app/hoc/cus/logs/L5_engines/evidence_facade.py
backend/app/hoc/cus/logs/L5_engines/evidence_report.py
backend/app/hoc/cus/logs/L5_engines/logs_facade.py
backend/app/hoc/cus/logs/L5_engines/logs_read_engine.py
backend/app/hoc/cus/logs/L5_engines/mapper.py
backend/app/hoc/cus/logs/L5_engines/panel_response_assembler.py
backend/app/hoc/cus/logs/L5_engines/pdf_renderer.py
backend/app/hoc/cus/logs/L5_engines/redact.py
backend/app/hoc/cus/logs/L5_engines/replay_determinism.py
backend/app/hoc/cus/logs/L5_engines/trace_facade.py
backend/app/hoc/cus/logs/L5_engines/traces_metrics.py
backend/app/hoc/cus/logs/L5_engines/traces_models.py
backend/app/hoc/cus/logs/L5_support/CRM/engines/audit_engine.py",12,"backend/app/hoc/cus/logs/L6_drivers/audit_ledger_service_async.py
backend/app/hoc/cus/logs/L6_drivers/bridges_driver.py
backend/app/hoc/cus/logs/L6_drivers/capture.py
backend/app/hoc/cus/logs/L6_drivers/export_bundle_store.py
backend/app/hoc/cus/logs/L6_drivers/idempotency.py
backend/app/hoc/cus/logs/L6_drivers/integrity.py
backend/app/hoc/cus/logs/L6_drivers/job_execution.py
backend/app/hoc/cus/logs/L6_drivers/logs_domain_store.py
backend/app/hoc/cus/logs/L6_drivers/panel_consistency_checker.py
backend/app/hoc/cus/logs/L6_drivers/pg_store.py
backend/app/hoc/cus/logs/L6_drivers/replay.py
backend/app/hoc/cus/logs/L6_drivers/traces_store.py",4,"backend/app/models/audit_ledger.py
backend/app/models/export_bundles.py
backend/app/models/log_exports.py
backend/app/models/logs_records.py",40
8,analytics,2,"website/app-shell/src/pages/analytics/CostPage.tsx
website/app-shell/src/pages/analytics/UsagePage.tsx",0,,4,"backend/app/hoc/api/cus/analytics/costsim.py
backend/app/hoc/api/cus/analytics/feedback.py
backend/app/hoc/api/cus/analytics/predictions.py
backend/app/hoc/api/cus/analytics/scenarios.py",2,"backend/app/hoc/cus/analytics/L3_adapters/alert_delivery.py
backend/app/hoc/cus/analytics/L3_adapters/v2_adapter.py",0,,21,"backend/app/hoc/cus/analytics/L5_engines/ai_console_panel_engine.py
backend/app/hoc/cus/analytics/L5_engines/analytics_facade.py
backend/app/hoc/cus/analytics/L5_engines/canary.py
backend/app/hoc/cus/analytics/L5_engines/config.py
backend/app/hoc/cus/analytics/L5_engines/coordinator.py
backend/app/hoc/cus/analytics/L5_engines/cost_anomaly_detector.py
backend/app/hoc/cus/analytics/L5_engines/cost_model_engine.py
backend/app/hoc/cus/analytics/L5_engines/cost_snapshots.py
backend/app/hoc/cus/analytics/L5_engines/cost_write_engine.py
backend/app/hoc/cus/analytics/L5_engines/costsim_models.py
backend/app/hoc/cus/analytics/L5_engines/datasets.py
backend/app/hoc/cus/analytics/L5_engines/detection_facade.py
backend/app/hoc/cus/analytics/L5_engines/divergence.py
backend/app/hoc/cus/analytics/L5_engines/envelope.py
backend/app/hoc/cus/analytics/L5_engines/metrics.py
backend/app/hoc/cus/analytics/L5_engines/pattern_detection.py
backend/app/hoc/cus/analytics/L5_engines/prediction.py
backend/app/hoc/cus/analytics/L5_engines/provenance.py
backend/app/hoc/cus/analytics/L5_engines/s1_retry_backoff.py
backend/app/hoc/cus/analytics/L5_engines/sandbox.py
backend/app/hoc/cus/analytics/L5_schemas/cost_snapshot_schemas.py",8,"backend/app/hoc/cus/analytics/L6_drivers/analytics_read_driver.py
backend/app/hoc/cus/analytics/L6_drivers/audit_persistence.py
backend/app/hoc/cus/analytics/L6_drivers/cost_anomaly_driver.py
backend/app/hoc/cus/analytics/L6_drivers/cost_write_driver.py
backend/app/hoc/cus/analytics/L6_drivers/leader.py
backend/app/hoc/cus/analytics/L6_drivers/pattern_detection_driver.py
backend/app/hoc/cus/analytics/L6_drivers/prediction_driver.py
backend/app/hoc/cus/analytics/L6_drivers/provenance_async.py",5,"backend/app/models/alert_config.py
backend/app/models/costsim_cb.py
backend/app/models/feedback.py
backend/app/models/monitor_config.py
backend/app/models/prediction.py",42
9,integrations,0,,0,,3,"backend/app/hoc/api/cus/integrations/cus_telemetry.py
backend/app/hoc/api/cus/integrations/protection_dependencies.py
backend/app/hoc/api/cus/integrations/session_context.py",21,"backend/app/hoc/cus/integrations/L3_adapters/cloud_functions_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/customer_activity_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/customer_incidents_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/customer_keys_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/customer_logs_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/customer_policies_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/file_storage_base.py
backend/app/hoc/cus/integrations/L3_adapters/founder_ops_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/gcs_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/lambda_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/pgvector_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/pinecone_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/runtime_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/s3_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/serverless_base.py
backend/app/hoc/cus/integrations/L3_adapters/slack_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/smtp_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/vector_stores_base.py
backend/app/hoc/cus/integrations/L3_adapters/weaviate_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/webhook_adapter.py
backend/app/hoc/cus/integrations/L3_adapters/workers_adapter.py",0,,23,"backend/app/hoc/cus/integrations/L5_engines/bridges.py
backend/app/hoc/cus/integrations/L5_engines/connectors_facade.py
backend/app/hoc/cus/integrations/L5_engines/cost_bridges_engine.py
backend/app/hoc/cus/integrations/L5_engines/credentials/protocol.py
backend/app/hoc/cus/integrations/L5_engines/cus_health_engine.py
backend/app/hoc/cus/integrations/L5_engines/cus_integration_service.py
backend/app/hoc/cus/integrations/L5_engines/datasources_facade.py
backend/app/hoc/cus/integrations/L5_engines/dispatcher.py
backend/app/hoc/cus/integrations/L5_engines/graduation_engine.py
backend/app/hoc/cus/integrations/L5_engines/http_connector.py
backend/app/hoc/cus/integrations/L5_engines/iam_engine.py
backend/app/hoc/cus/integrations/L5_engines/integrations_facade.py
backend/app/hoc/cus/integrations/L5_engines/mcp_connector.py
backend/app/hoc/cus/integrations/L5_engines/prevention_contract.py
backend/app/hoc/cus/integrations/L5_engines/sql_gateway.py
backend/app/hoc/cus/integrations/L5_engines/types.py
backend/app/hoc/cus/integrations/L5_schemas/audit_schemas.py
backend/app/hoc/cus/integrations/L5_schemas/cus_schemas.py
backend/app/hoc/cus/integrations/L5_schemas/datasource_model.py
backend/app/hoc/cus/integrations/L5_schemas/loop_events.py
backend/app/hoc/cus/integrations/L5_notifications/engines/channel_engine.py
backend/app/hoc/cus/integrations/L5_vault/drivers/vault.py
backend/app/hoc/cus/integrations/L5_vault/engines/service.py",3,"backend/app/hoc/cus/integrations/L6_drivers/connector_registry.py
backend/app/hoc/cus/integrations/L6_drivers/external_response_driver.py
backend/app/hoc/cus/integrations/L6_drivers/worker_registry_driver.py",2,"backend/app/models/external_response.py
backend/app/models/retrieval_evidence.py",52
10,apis,0,,0,,0,,0,,0,,0,,1,backend/app/hoc/cus/apis/L6_drivers/keys_driver.py,0,,1
11,account,1,website/app-shell/src/pages/credits/CreditsPage.tsx,0,,1,backend/app/hoc/api/cus/account/memory_pins.py,0,,0,,10,"backend/app/hoc/cus/account/L5_engines/accounts_facade.py
backend/app/hoc/cus/account/L5_engines/billing_provider.py
backend/app/hoc/cus/account/L5_engines/email_verification.py
backend/app/hoc/cus/account/L5_engines/identity_resolver.py
backend/app/hoc/cus/account/L5_engines/notifications_facade.py
backend/app/hoc/cus/account/L5_engines/profile.py
backend/app/hoc/cus/account/L5_engines/tenant_engine.py
backend/app/hoc/cus/account/L5_engines/user_write_engine.py
backend/app/hoc/cus/account/L5_support/CRM/engines/crm_validator_engine.py
backend/app/hoc/cus/account/L5_support/CRM/engines/validator_engine.py",3,"backend/app/hoc/cus/account/L6_drivers/accounts_facade_driver.py
backend/app/hoc/cus/account/L6_drivers/tenant_driver.py
backend/app/hoc/cus/account/L6_drivers/user_write_driver.py",2,"backend/app/models/cus_models.py
backend/app/models/tenant.py",17
,TOTAL,6,,0,,58,,28,,6,,230,,77,,32,,437
