capability_id,canonical_name,status,lifecycle_state,promotion_origin,trust_weight,claimed_console_scope,claimed_exposure_type,claimed_role,determinism_claim,mutability_claim,replay_claim,export_claim,owner,layer,has_routes,route_count,has_sdk_methods,sdk_method_count,has_commands,command_count,pin329_mentioned,merged_from_count,has_justification,governance_notes,normalization_notes
CAP-001,Execution Replay & Activity,FIRST_CLASS,active,pre-PIN-326,HIGH,CUSTOMER,UI,control,deterministic,write,yes,unknown,platform,,True,34,False,0,False,0,True,2,False,Agent Autonomy capabilities (LCAP-001 to LCAP-010) are internal system behavior that should never be user-invokable. They are reclassified as SUBSTRATE.,Merged from 2 LCAPs
CAP-002,Cost Simulation V2,FIRST_CLASS,active,pre-PIN-326,HIGH,CUSTOMER,UI,control,mixed,write,unknown,unknown,platform,,True,21,False,0,False,0,True,0,False,| LCAP-002 | SUB-009 | Agent Goal Submission | Internal system behavior |,
CAP-003,Policy Proposals,FIRST_CLASS,active,pre-PIN-326,MEDIUM,CUSTOMER,UI,advisory,mixed,read,unknown,unknown,platform,,True,4,False,0,False,0,True,0,False,| LCAP-003 | SUB-010 | Agent Run Monitoring | Internal system behavior |,
CAP-004,C2 Prediction Plane,FIRST_CLASS,active,pre-PIN-326,MEDIUM,CUSTOMER,UI,advisory,probabilistic,write,unknown,unknown,platform,,True,5,False,0,False,0,True,0,False,| LCAP-004 | SUB-011 | Agent Memory Operations | Internal system behavior |,
CAP-005,Founder Console,FIRST_CLASS,active,pre-PIN-326,HIGH,FOUNDER,UI,control,mixed,control,unknown,unknown,founder,,True,25,False,0,False,0,True,0,False,| LCAP-005 | SUB-012 | Agent Message Queue | Internal system behavior |,
CAP-006,Authentication,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,middleware,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| LCAP-006 | SUB-013 | Blackboard Shared State | Internal system behavior |,"Internal-only, no user exposure"
CAP-007,Authorization (RBAC v2),FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,middleware,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| LCAP-007 | SUB-014 | Agent Job Distribution | Internal system behavior |,"Internal-only, no user exposure"
CAP-008,M12 Multi-Agent Orchestration,FIRST_CLASS,active,pre-PIN-326,MEDIUM,SDK,SDK,engine,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| LCAP-008 | SUB-015 | Agent Registration | Internal system behavior |,
CAP-009,M19 Policy Engine,FIRST_CLASS,active,pre-PIN-326,HIGH,CUSTOMER,UI,engine,mixed,write,unknown,unknown,platform,,True,9,False,0,False,0,True,0,False,| LCAP-009 | SUB-016 | Agent Credits Management | Internal system behavior |,
CAP-010,M17 CARE-L Routing,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,middleware,probabilistic,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,Agent Autonomy capabilities (LCAP-001 to LCAP-010) are internal system behavior that should never be user-invokable. They are reclassified as SUBSTRATE.,"Internal-only, no user exposure"
CAP-011,M28 Governance Orchestration,FIRST_CLASS,active,pre-PIN-326,HIGH,FOUNDER,UI,engine,mixed,write,unknown,unknown,platform,,True,5,False,0,False,0,True,0,False,| CAP-002 (Cost Simulation) | LCAP-011 to LCAP-015 | 5 | Cost observation & simulation |,
CAP-012,M4 Workflow Engine,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,engine,deterministic,read,yes,unknown,platform,,False,0,False,0,False,0,True,1,False,- Cost simulation V2 (LCAP-012),"Internal-only, no user exposure; Merged from 1 LCAPs"
CAP-013,M5 Learning Pipeline,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,engine,probabilistic,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,- Cost anomaly detection (LCAP-013),"Internal-only, no user exposure"
CAP-014,M7 Memory System,FIRST_CLASS,active,pre-PIN-326,MEDIUM,CUSTOMER,UI,unknown,mixed,write,unknown,unknown,platform,,True,7,False,0,False,0,True,0,False,"| CAP-014 (Memory System) | LCAP-054, LCAP-055 | 2 | Memory & embeddings |",
CAP-015,M22 Optimization Engine,FIRST_CLASS,active,pre-PIN-326,MEDIUM,NONE,INTERNAL,engine,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,| CAP-002 (Cost Simulation) | LCAP-011 to LCAP-015 | 5 | Cost observation & simulation |,"Internal-only, no user exposure"
CAP-016,Skill System (M2/M3),FIRST_CLASS,active,pre-PIN-326,HIGH,SDK,SDK,control,mixed,write,unknown,unknown,platform,,True,6,False,0,False,0,True,0,False,"| CAP-009 (Policy Engine) | LCAP-016 to LCAP-019, LCAP-051 | 5 | Policy evaluation |",
CAP-017,Cross-Project Aggregation,FIRST_CLASS,active,pre-PIN-326,MEDIUM,FOUNDER,INTERNAL,unknown,mixed,read,unknown,unknown,platform,,False,0,False,0,False,0,True,0,False,- Policy administration (LCAP-017) - FOUNDER_ONLY,"Internal-only, no user exposure"
CAP-018,M25 Integration Platform,FIRST_CLASS,active,pre-PIN-326,MEDIUM,CUSTOMER,UI,unknown,mixed,write,unknown,unknown,platform,,True,15,False,0,False,0,True,1,False,"| CAP-018 (Integration) | LCAP-028 to LCAP-032, LCAP-056, LCAP-057 | 7 | Integration & recovery |",Merged from 1 LCAPs
CAP-019,Run Management,FIRST_CLASS,active,promoted_from_PIN-329,MEDIUM,SDK,API,advisory,mixed,control,unknown,unknown,platform,,True,6,False,0,False,0,True,0,False,"| CAP-009 (Policy Engine) | LCAP-016 to LCAP-019, LCAP-051 | 5 | Policy evaluation |",
CAP-020,CLI Execution,FIRST_CLASS,active,promoted_from_PIN-329,MEDIUM,NONE,CLI,control,mixed,read,unknown,unknown,platform,,False,0,False,0,True,10,True,0,False,"| CAP-001 (Replay & Activity) | LCAP-020 to LCAP-027, LCAP-049, LCAP-050, LCAP-058 | 11 | Observation of execution |",
CAP-021,SDK Execution,FIRST_CLASS,active,promoted_from_PIN-329,HIGH,NONE,SDK,control,mixed,read,unknown,unknown,platform,,False,0,True,16,False,0,True,0,False,"- Incident listing, search, aggregation (LCAP-020, LCAP-021, LCAP-023)",
SUB-001,Database Connection Pool,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,substrate,mixed,read,unknown,unknown,platform,L6,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-002,Cache Substrate,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,advisory,mixed,read,unknown,unknown,platform,L6,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-003,Task Scheduling Substrate,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,control,mixed,read,unknown,unknown,platform,L5,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-004,Observability Substrate,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,substrate,mixed,read,unknown,unknown,platform,L6,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-005,Migration Substrate,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,substrate,mixed,read,unknown,unknown,platform,L7,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-006,Configuration Substrate,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,control,mixed,read,unknown,unknown,platform,L6,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-007,Container Runtime Substrate,SUBSTRATE,active,PIN-327,LOW,NONE,INTERNAL,substrate,mixed,read,unknown,unknown,platform,L7,False,0,False,0,False,0,False,0,False,,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-008,Agent Lifecycle Management,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,5,False,0,False,0,True,0,False,| LCAP-001 | SUB-008 | Agent Lifecycle Management | Internal system behavior |,Substrate - never user-invokable
SUB-009,Agent Goal Submission,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,control,mixed,write,unknown,unknown,platform,L2,True,1,False,0,False,0,True,0,False,| LCAP-002 | SUB-009 | Agent Goal Submission | Internal system behavior |,Substrate - never user-invokable
SUB-010,Agent Run Monitoring,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,advisory,mixed,read,unknown,unknown,platform,L2,True,2,False,0,False,0,True,0,False,| LCAP-003 | SUB-010 | Agent Run Monitoring | Internal system behavior |,Substrate - never user-invokable
SUB-011,Agent Memory Operations,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,2,False,0,False,0,True,0,False,| LCAP-004 | SUB-011 | Agent Memory Operations | Internal system behavior |,Substrate - never user-invokable
SUB-012,Agent Message Queue,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,2,False,0,False,0,True,0,False,| LCAP-005 | SUB-012 | Agent Message Queue | Internal system behavior |,Substrate - never user-invokable
SUB-013,Blackboard Shared State,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,3,False,0,False,0,True,0,False,| LCAP-006 | SUB-013 | Blackboard Shared State | Internal system behavior |,Substrate - never user-invokable
SUB-014,Agent Job Distribution,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,4,False,0,False,0,True,0,False,| LCAP-007 | SUB-014 | Agent Job Distribution | Internal system behavior |,Substrate - never user-invokable
SUB-015,Agent Registration,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,1,False,0,False,0,True,0,False,| LCAP-008 | SUB-015 | Agent Registration | Internal system behavior |,Substrate - never user-invokable
SUB-016,Agent Credits Management,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,2,False,0,False,0,True,0,False,| LCAP-009 | SUB-016 | Agent Credits Management | Internal system behavior |,Substrate - never user-invokable
SUB-017,Agent Coordination Primitives,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,API,substrate,mixed,write,unknown,unknown,platform,L2,True,2,False,0,False,0,True,0,False,| LCAP-010 | SUB-017 | Agent Coordination Primitives | Internal system behavior |,Substrate - never user-invokable
SUB-018,Run Execution & Dispatch,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,INTERNAL,control,mixed,read,unknown,unknown,platform,L5,False,0,False,0,False,0,True,0,False,| LCAP-WKR-001 | SUB-018 | Run Execution & Dispatch | System plumbing |,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-019,Failure Recovery Processing,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,INTERNAL,substrate,mixed,read,unknown,unknown,platform,L5,False,0,False,0,False,0,True,0,False,| LCAP-WKR-002 | SUB-019 | Failure Recovery Processing | System plumbing |,"Internal-only, no user exposure; Substrate - never user-invokable"
SUB-020,External Delivery & Outbox,SUBSTRATE,active,internalized_from_PIN-329,MEDIUM,NONE,INTERNAL,substrate,mixed,read,unknown,unknown,platform,L5,False,0,False,0,False,0,True,0,False,| LCAP-WKR-003 | SUB-020 | External Delivery & Outbox | System plumbing |,"Internal-only, no user exposure; Substrate - never user-invokable"
